mfr,cups,rating
Int,Float,Float
0.33,68.402973,3
1.0,33.983679,5
0.33,59.425505,2
0.5,93.704912,2
0.75,34.384843,6
0.75,29.509541,1
1,33.174094,2
0.75,37.038562,1
0.67,49.120253,6
0.67,53.313813,4
0.75,18.042851,5
1.25,50.764999,1
0.75,19.823573,1
0.5,40.400208,1
1.0,22.736446,1
1.0,41.445019,6
1.0,45.863324,2
1.0,35.782791,2
1.0,22.396513,1
0.5,40.448772,2
1.0,64.533816,3
1.0,46.895644,2
0.75,36.176196,1
0.75,44.330856,6
1.0,32.207582,2
0.75,31.435973,2
0.8,58.345141,2
0.67,40.917047,4
0.67,41.015492,2
0.75,28.025765,4
0.88,35.252444,4
0.75,23.804043,1
0.88,52.076897,4
0.25,53.371007,4
0.33,45.811716,4
1.0,21.871292,5
0.75,31.072217,1
1.33,28.742414,4
1.0,36.523683,2
0.75,36.471512,2
1.5,39.241114,1
0.67,45.328074,5
1.0,26.734515,1
1.0,54.850917,0
1.0,37.136863,6
1.0,34.139765,6
0.67,30.313351,2
1.0,40.105965,1
0.67,29.924285,2
0.67,40.692320,2
1.0,59.642837,2
0.5,30.450843,1
0.67,37.840594,4
1.0,41.503540,2
1.0,60.756112,5
1.0,63.005645,5
0.5,49.511874,5
0.67,50.828392,5
0.75,39.259197,2
0.5,39.703400,1
0.5,55.333142,2
1.0.13,41.998933,6
1.0,40.560159,2
1.0,68.235885,3
0.67,74.472949,3
0.67,72.801787,3
0.75,31.230054,2
1.0,53.131324,2
1.0,59.363993,3
1.0,38.839746,1
1.0,28.592785,1
1.0,46.658844,1
0.75,39.106174,1
1.0,27.753301,1
0.67,49.787445,6
1.0,51.592193,1
0.75,36.187559,1
